,MESS_DATUM, RSK
506,20170411,0.0
507,20170412,1.0
508,20170413,0.0
509,20170414,0.5
510,20170415,1.2
511,20170416,16.5
512,20170417,0.1
513,20170418,0.1
514,20170419,0.0
515,20170420,0.0
516,20170421,2.9
517,20170422,0.0
518,20170423,0.0
519,20170424,0.7
520,20170425,0.7
521,20170426,0.5
522,20170427,0.0
523,20170428,0.0
524,20170429,0.0
525,20170430,0.6
526,20170501,7.2
527,20170502,5.6
528,20170503,1.2
529,20170504,0.4
530,20170505,0.0
531,20170506,0.0
532,20170507,0.0
533,20170508,0.0
534,20170509,0.0
535,20170510,0.0
536,20170511,3.2
537,20170512,0.6
538,20170513,0.0
539,20170514,0.4
540,20170515,0.0
541,20170516,0.0
542,20170517,0.9
543,20170518,4.2
544,20170519,5.5
545,20170520,2.9
546,20170521,0.0
547,20170522,0.0
548,20170523,0.0
549,20170524,0.0
550,20170525,0.0
551,20170526,0.0
552,20170901,0.0
553,20170902,0.0
554,20170903,0.0
555,20170904,0.0
556,20170905,5.3
557,20170906,1.8
558,20170907,0.3
559,20170908,9.0
560,20170909,5.9
561,20170910,0.1
562,20170911,1.5
563,20170912,7.0
564,20170913,2.7
565,20170914,18.5
566,20170915,3.0
567,20170916,1.3
568,20170917,0.0
569,20170918,5.7
570,20170919,0.0
571,20170920,0.0
572,20170921,0.0
573,20170922,0.5
574,20170923,0.0
575,20170924,0.0
576,20170925,0.0
577,20170926,0.0
578,20170927,0.4
579,20170928,1.1
580,20170929,17.7
581,20170930,15.3
582,20171001,0.2
583,20171002,0.2
584,20171003,0.5
585,20171004,4.4
586,20171005,7.3
587,20171006,2.0
588,20171007,10.8
589,20171008,1.1
590,20171009,2.7
591,20171010,1.5
592,20171011,0.0
593,20171012,0.0
594,20171013,0.0
595,20171014,0.0
596,20171015,0.0
597,20171016,0.0
598,20171017,0.0
599,20171018,0.0
600,20171019,2.0
601,20171020,2.0
602,20171021,5.0
603,20171022,1.0
604,20171023,1.0
605,20171024,0.6
606,20171025,0.2
607,20171026,0.1
608,20171027,0.0
609,20171028,6.0
610,20171029,0.2
611,20171030,0.0
612,20171031,0.2
613,20171101,0.0
614,20171102,0.0
615,20171103,0.0
616,20171104,6.1
617,20171105,3.8
618,20171106,0.0
619,20171107,0.1
620,20171108,0.0
621,20171109,0.2
622,20171110,0.9
623,20171111,1.4
624,20171112,2.7
625,20171113,0.1
626,20171114,0.0
627,20171115,0.6
628,20171116,1.4
629,20171117,0.0
630,20171118,4.3
631,20171119,2.4
